Customer_ID,final_churn_probability,Risk_Level,Primary_Reason
CID00684,0.42442107,Medium Risk,Win_Rate
CID01634,0.4220742,Medium Risk,Email_Open_Rate
CID01712,0.42053446,Medium Risk,Win_Rate
CID00537,0.4203631,Medium Risk,Win_Rate
CID01849,0.4192617,Medium Risk,Account_Age
CID01303,0.41643167,Medium Risk,Account_Age
CID01484,0.41252086,Medium Risk,Win_Rate
CID01697,0.41164246,Medium Risk,Avg_Trade_Return
CID00164,0.41151717,Medium Risk,Account_Age
CID00517,0.41080216,Medium Risk,Win_Rate
CID00235,0.41067925,Medium Risk,Win_Rate
CID01617,0.40936652,Medium Risk,Email_Open_Rate
CID01762,0.4078458,Medium Risk,Account_Age
CID01061,0.40761447,Medium Risk,Win_Rate
CID00611,0.40608278,Medium Risk,Avg_Trade_Return
CID00785,0.402817,Medium Risk,Account_Age
CID00754,0.4014684,Medium Risk,Avg_Trade_Return
CID01542,0.39996347,Low Risk,Avg_Trade_Return
CID01735,0.3976535,Low Risk,Avg_Trade_Return
CID01820,0.3941065,Low Risk,Avg_Trade_Return
CID00208,0.39323398,Low Risk,Login_Drop_Percent
CID01901,0.39211854,Low Risk,Win_Rate
CID00322,0.39115775,Low Risk,Push_Click_Rate
CID00250,0.39023358,Low Risk,Account_Age
CID01193,0.38894397,Low Risk,Win_Rate
CID00636,0.3866557,Low Risk,Win_Rate
CID00715,0.38633284,Low Risk,Push_Click_Rate
CID00251,0.3853393,Low Risk,Avg_Trade_Return
CID00904,0.38533163,Low Risk,Win_Rate
CID00218,0.38517147,Low Risk,Engagement_Score
CID00664,0.3840949,Low Risk,Account_Age
CID01540,0.38310212,Low Risk,Email_Open_Rate
CID01277,0.38192704,Low Risk,Avg_Trade_Return
CID01890,0.3814374,Low Risk,Trades_30D
CID01287,0.38139728,Low Risk,Win_Rate
CID00898,0.38139427,Low Risk,Avg_Trade_Return
CID01239,0.38036716,Low Risk,Win_Rate
CID00570,0.37951925,Low Risk,PnL_Percent
CID00507,0.3793396,Low Risk,Push_Click_Rate
CID01378,0.3787767,Low Risk,Win_Rate
CID01214,0.37823153,Low Risk,Avg_Trade_Return
CID01976,0.37706387,Low Risk,Push_Click_Rate
CID01779,0.37676316,Low Risk,PnL_Percent
CID00926,0.37594843,Low Risk,Avg_Trade_Return
CID00342,0.3747881,Low Risk,Avg_Trade_Return
CID01162,0.374653,Low Risk,Push_Click_Rate
CID01640,0.37462354,Low Risk,Push_Click_Rate
CID01584,0.37388614,Low Risk,Win_Rate
CID01799,0.3735049,Low Risk,Push_Click_Rate
CID01747,0.37296006,Low Risk,Win_Rate
CID01361,0.3723836,Low Risk,Account_Age
CID01866,0.3722915,Low Risk,Avg_Trade_Return
CID00100,0.37204963,Low Risk,Avg_Trade_Return
CID00831,0.3712274,Low Risk,Avg_Trade_Return
CID01742,0.3662436,Low Risk,Account_Age
CID00446,0.36594287,Low Risk,Win_Rate
CID01753,0.36540243,Low Risk,Trades_30D
CID01039,0.36480927,Low Risk,Win_Rate
CID01018,0.3641473,Low Risk,Push_Click_Rate
CID00726,0.36399093,Low Risk,Win_Rate
CID01655,0.3639516,Low Risk,Win_Rate
CID00970,0.36361754,Low Risk,Push_Click_Rate
CID00467,0.3622759,Low Risk,Account_Age
CID01328,0.3610145,Low Risk,Avg_Trade_Return
CID00717,0.36027825,Low Risk,Win_Rate
CID01264,0.3601328,Low Risk,Win_Rate
CID01907,0.36004293,Low Risk,Avg_Trade_Return
CID01826,0.35953847,Low Risk,Push_Click_Rate
CID01764,0.35780224,Low Risk,Win_Rate
CID00943,0.35594463,Low Risk,Email_Open_Rate
CID01851,0.35382053,Low Risk,Deposits
CID00503,0.3537281,Low Risk,Win_Rate
CID01870,0.35277164,Low Risk,Email_Open_Rate
CID00789,0.35069963,Low Risk,Win_Rate
CID01015,0.3503395,Low Risk,Avg_Trade_Return
CID01029,0.3500945,Low Risk,Win_Rate
CID00868,0.34985304,Low Risk,Account_Age
CID00326,0.3488641,Low Risk,Avg_Trade_Return
CID00099,0.34798563,Low Risk,Push_Click_Rate
CID00102,0.34758338,Low Risk,Avg_Trade_Return
CID00696,0.34724724,Low Risk,Drawdown
CID01337,0.3469425,Low Risk,PnL_Percent
CID01731,0.34567425,Low Risk,Account_Age
CID01877,0.3450094,Low Risk,Win_Rate
CID01889,0.344301,Low Risk,Win_Rate
CID00437,0.34240964,Low Risk,Avg_Trade_Return
CID00088,0.34193403,Low Risk,Win_Rate
CID00702,0.34166756,Low Risk,Win_Rate
CID00843,0.34142667,Low Risk,Drawdown
CID00073,0.34125116,Low Risk,Win_Rate
CID01906,0.3412375,Low Risk,Win_Rate
CID01651,0.34051782,Low Risk,Avg_Trade_Return
CID01355,0.34025767,Low Risk,Win_Rate
CID00005,0.3385829,Low Risk,Email_Open_Rate
CID00498,0.33828536,Low Risk,Win_Rate
CID01333,0.33814758,Low Risk,PnL_Percent
CID01685,0.33757937,Low Risk,Push_Click_Rate
CID01770,0.33478332,Low Risk,Win_Rate
CID00738,0.3342043,Low Risk,Avg_Trade_Return
CID00318,0.33410275,Low Risk,Avg_Trade_Return
CID00547,0.3332371,Low Risk,Avg_Trade_Return
CID01438,0.3327382,Low Risk,Win_Rate
CID01052,0.33115372,Low Risk,PnL_Percent
CID00400,0.33100274,Low Risk,Avg_Trade_Return
CID00848,0.33063138,Low Risk,Email_Open_Rate
CID00857,0.33050713,Low Risk,Push_Click_Rate
CID01140,0.32948577,Low Risk,Win_Rate
CID00597,0.32942054,Low Risk,Avg_Trade_Return
CID01260,0.32870048,Low Risk,Avg_Trade_Return
CID01977,0.32751444,Low Risk,PnL_Percent
CID00354,0.32728377,Low Risk,PnL_Percent
CID00426,0.32544047,Low Risk,Push_Click_Rate
CID01180,0.32542267,Low Risk,Win_Rate
CID01331,0.3253136,Low Risk,Win_Rate
CID00719,0.32481575,Low Risk,PnL_Percent
CID00999,0.3247711,Low Risk,Win_Rate
CID01596,0.32471547,Low Risk,Win_Rate
CID00292,0.32424286,Low Risk,PnL_Percent
CID00681,0.32387725,Low Risk,Avg_Trade_Return
CID00729,0.3238638,Low Risk,Avg_Trade_Return
CID01664,0.3237486,Low Risk,Win_Rate
CID00282,0.3230554,Low Risk,Win_Rate
CID01959,0.32288447,Low Risk,Avg_Trade_Return
CID00478,0.3220767,Low Risk,Account_Age
CID00412,0.32187292,Low Risk,Win_Rate
CID01574,0.32037118,Low Risk,Push_Click_Rate
CID01723,0.32036468,Low Risk,Account_Age
CID01351,0.32005328,Low Risk,Account_Age
CID00618,0.31998196,Low Risk,Avg_Trade_Return
CID01299,0.3181296,Low Risk,Engagement_Score
CID01304,0.3180764,Low Risk,Avg_Trade_Return
CID00969,0.31756383,Low Risk,Withdrawal_Ratio
CID00709,0.317363,Low Risk,Win_Rate
CID00214,0.3154428,Low Risk,Engagement_Score
CID01995,0.31470403,Low Risk,Win_Rate
CID01455,0.31410602,Low Risk,PnL_Percent
CID00993,0.3139726,Low Risk,Push_Click_Rate
CID01089,0.3139043,Low Risk,Avg_Trade_Return
CID01913,0.31181195,Low Risk,Win_Rate
CID00919,0.31157207,Low Risk,Avg_Trade_Return
CID01011,0.31131807,Low Risk,Win_Rate
CID01636,0.31052947,Low Risk,Email_Open_Rate
CID00546,0.30994332,Low Risk,PnL_Percent
CID00325,0.30906704,Low Risk,Win_Rate
CID01113,0.30896658,Low Risk,Avg_Trade_Return
CID00118,0.3084085,Low Risk,Win_Rate
CID00584,0.30808794,Low Risk,Win_Rate
CID00563,0.30764177,Low Risk,Account_Age
CID00753,0.30748785,Low Risk,Email_Open_Rate
CID00213,0.30645567,Low Risk,Win_Rate
CID00703,0.30627158,Low Risk,PnL_Percent
CID00742,0.30620992,Low Risk,Win_Rate
CID00140,0.30616105,Low Risk,Email_Open_Rate
CID00828,0.30602857,Low Risk,Avg_Trade_Return
CID01119,0.3051796,Low Risk,Account_Age
CID01186,0.3030546,Low Risk,Win_Rate
CID00255,0.3023553,Low Risk,Win_Rate
CID00762,0.30218107,Low Risk,Avg_Trade_Return
CID01525,0.30140498,Low Risk,Drawdown
CID00593,0.30119294,Low Risk,PnL_Percent
CID00705,0.2993311,Low Risk,Avg_Trade_Return
CID00737,0.29847017,Low Risk,Win_Rate
CID01387,0.2969966,Low Risk,Account_Age
CID00232,0.29612684,Low Risk,Avg_Trade_Return
CID01124,0.29599756,Low Risk,Win_Rate
CID00649,0.29559308,Low Risk,Win_Rate
CID00158,0.29555127,Low Risk,PnL_Percent
CID00551,0.29447362,Low Risk,PnL_Percent
CID01075,0.29375023,Low Risk,Win_Rate
CID01289,0.29355296,Low Risk,PnL_Percent
CID00090,0.29308856,Low Risk,Account_Age
CID01879,0.29282966,Low Risk,Login_Drop_Percent
CID00409,0.2927205,Low Risk,Email_Open_Rate
CID01505,0.29262358,Low Risk,Win_Rate
CID01179,0.29250762,Low Risk,Account_Age
CID01204,0.29147133,Low Risk,PnL_Percent
CID01909,0.29125446,Low Risk,Win_Rate
CID01150,0.29098994,Low Risk,Win_Rate
CID01284,0.29095584,Low Risk,Win_Rate
CID01657,0.290176,Low Risk,Win_Rate
CID00153,0.2897784,Low Risk,Win_Rate
CID01749,0.28853557,Low Risk,Email_Open_Rate
CID00872,0.28812855,Low Risk,Win_Rate
CID01433,0.2881087,Low Risk,Engagement_Score
CID00272,0.28806138,Low Risk,Win_Rate
CID01022,0.2879247,Low Risk,Avg_Trade_Return
CID01538,0.2873493,Low Risk,Account_Age
CID01282,0.2865561,Low Risk,Push_Click_Rate
CID00176,0.28634098,Low Risk,Win_Rate
CID01464,0.28624994,Low Risk,Trades_30D
CID01136,0.2861628,Low Risk,Win_Rate
CID01461,0.28528887,Low Risk,Push_Click_Rate
CID01934,0.2850375,Low Risk,Trades_30D
CID01203,0.28472692,Low Risk,Deposits
CID01006,0.28457168,Low Risk,Win_Rate
CID00149,0.2842896,Low Risk,PnL_Percent
CID01729,0.28420964,Low Risk,Win_Rate
CID01057,0.28395483,Low Risk,Avg_Trade_Return
CID00135,0.2832625,Low Risk,Win_Rate
CID01407,0.28324944,Low Risk,Avg_Trade_Return
CID01353,0.28313458,Low Risk,Engagement_Score
CID01441,0.28279424,Low Risk,Account_Age
CID01142,0.28221166,Low Risk,Win_Rate
CID00544,0.2819802,Low Risk,Win_Rate
CID01078,0.28193682,Low Risk,Push_Click_Rate
CID00163,0.2816015,Low Risk,Avg_Trade_Return
CID00418,0.28096798,Low Risk,Engagement_Score
CID00663,0.28034356,Low Risk,Win_Rate
CID01510,0.27955326,Low Risk,Win_Rate
CID01090,0.2791901,Low Risk,Win_Rate
CID00883,0.2790088,Low Risk,Win_Rate
CID01814,0.27811846,Low Risk,Win_Rate
CID01458,0.27804157,Low Risk,Account_Age
CID00190,0.27755538,Low Risk,Win_Rate
CID00863,0.2773757,Low Risk,Push_Click_Rate
CID01285,0.2769501,Low Risk,Push_Click_Rate
CID01402,0.27646133,Low Risk,Account_Age
CID00850,0.27634564,Low Risk,Push_Click_Rate
CID00739,0.27606112,Low Risk,Account_Age
CID01938,0.27575088,Low Risk,Avg_Trade_Return
CID01888,0.2743708,Low Risk,Avg_Trade_Return
CID01492,0.27378637,Low Risk,Push_Click_Rate
CID01565,0.27368128,Low Risk,Drawdown
CID01211,0.27284613,Low Risk,Win_Rate
CID01865,0.27267268,Low Risk,Win_Rate
CID01262,0.27194792,Low Risk,Deposits
CID00690,0.27187207,Low Risk,Win_Rate
CID00799,0.27143767,Low Risk,Win_Rate
CID01943,0.27127445,Low Risk,Email_Open_Rate
CID00743,0.27102867,Low Risk,Account_Age
CID00545,0.2710123,Low Risk,Win_Rate
CID00482,0.2704256,Low Risk,Win_Rate
CID01202,0.2700874,Low Risk,Win_Rate
CID00536,0.26999187,Low Risk,Avg_Trade_Return
CID00950,0.26992887,Low Risk,Avg_Trade_Return
CID01286,0.26985723,Low Risk,Win_Rate
CID01491,0.26907343,Low Risk,Win_Rate
CID01580,0.26830614,Low Risk,Win_Rate
CID01473,0.26789042,Low Risk,Avg_Trade_Return
CID00019,0.26785383,Low Risk,Win_Rate
CID00301,0.26754144,Low Risk,Account_Age
CID00810,0.26659638,Low Risk,Win_Rate
CID01419,0.26659018,Low Risk,Avg_Trade_Return
CID01429,0.26623613,Low Risk,Account_Age
CID01522,0.26546195,Low Risk,Account_Age
CID01107,0.2641714,Low Risk,Win_Rate
CID00211,0.26402393,Low Risk,Drawdown
CID00678,0.2637637,Low Risk,Win_Rate
CID00900,0.26351485,Low Risk,Win_Rate
CID00061,0.2634317,Low Risk,Win_Rate
CID00687,0.26342735,Low Risk,Engagement_Score
CID01005,0.26342413,Low Risk,PnL_Percent
CID01170,0.26337412,Low Risk,Win_Rate
CID01266,0.26336524,Low Risk,Avg_Trade_Return
CID00675,0.26328686,Low Risk,Win_Rate
CID01891,0.26267615,Low Risk,Win_Rate
CID01174,0.26255077,Low Risk,Win_Rate
CID01196,0.26251486,Low Risk,Win_Rate
CID00195,0.2619696,Low Risk,Win_Rate
CID00632,0.2610442,Low Risk,Win_Rate
CID01638,0.26093388,Low Risk,Avg_Trade_Return
CID00473,0.26077336,Low Risk,Avg_Trade_Return
CID00692,0.26049918,Low Risk,Avg_Trade_Return
CID01706,0.2603427,Low Risk,Drawdown
CID00671,0.25999767,Low Risk,Account_Age
CID01485,0.25978673,Low Risk,Win_Rate
CID00080,0.25896242,Low Risk,Avg_Trade_Return
CID01038,0.2588887,Low Risk,Account_Age
CID01466,0.25878692,Low Risk,Account_Age
CID00713,0.25846064,Low Risk,Avg_Trade_Return
CID00569,0.25837383,Low Risk,Win_Rate
CID00259,0.2580675,Low Risk,Email_Open_Rate
CID00004,0.25756484,Low Risk,Email_Open_Rate
CID00496,0.2574536,Low Risk,Avg_Trade_Return
CID00504,0.2573898,Low Risk,Account_Age
CID00790,0.25591093,Low Risk,Engagement_Score
CID01115,0.25570413,Low Risk,Win_Rate
CID00388,0.25538948,Low Risk,Push_Click_Rate
CID01966,0.25505003,Low Risk,Avg_Trade_Return
CID01732,0.25503176,Low Risk,Avg_Trade_Return
CID00980,0.25483707,Low Risk,Push_Click_Rate
CID00954,0.25470835,Low Risk,Avg_Trade_Return
CID00806,0.25409025,Low Risk,Win_Rate
CID01653,0.25358665,Low Risk,Email_Open_Rate
CID00861,0.25333196,Low Risk,Account_Age
CID00366,0.25300592,Low Risk,Trades_30D
CID01935,0.25270367,Low Risk,Account_Age
CID00487,0.25218135,Low Risk,Win_Rate
CID00933,0.2518098,Low Risk,Trades_30D
CID00014,0.2514018,Low Risk,Win_Rate
CID00358,0.25108272,Low Risk,Win_Rate
CID00422,0.2510594,Low Risk,Avg_Trade_Return
CID01377,0.25092527,Low Risk,Avg_Trade_Return
CID01567,0.25050446,Low Risk,Win_Rate
CID01134,0.25042164,Low Risk,Account_Age
CID01077,0.25024155,Low Risk,Win_Rate
CID00405,0.2495265,Low Risk,Avg_Trade_Return
CID01521,0.24815647,Low Risk,Win_Rate
CID00985,0.24774887,Low Risk,Withdrawal_Ratio
CID00994,0.24756125,Low Risk,Email_Open_Rate
CID01274,0.24750389,Low Risk,Win_Rate
CID00641,0.24678735,Low Risk,Avg_Trade_Return
CID01828,0.24673964,Low Risk,PnL_Percent
CID00767,0.24660476,Low Risk,Email_Open_Rate
CID01873,0.24608748,Low Risk,Email_Open_Rate
CID01783,0.24537782,Low Risk,Avg_Trade_Return
CID00832,0.2452929,Low Risk,Account_Age
CID00297,0.24502634,Low Risk,Account_Age
CID01763,0.24435712,Low Risk,Avg_Trade_Return
CID00209,0.24378105,Low Risk,Account_Age
CID01298,0.24367666,Low Risk,Avg_Trade_Return
CID01488,0.24331278,Low Risk,Win_Rate
CID01503,0.24329683,Low Risk,Trades_30D
CID01622,0.24300791,Low Risk,Engagement_Score
CID01453,0.24271795,Low Risk,Avg_Trade_Return
CID00876,0.24264608,Low Risk,Win_Rate
CID00814,0.2425817,Low Risk,Account_Age
CID01238,0.2425563,Low Risk,Win_Rate
CID00928,0.24194208,Low Risk,Engagement_Score
CID01591,0.2417398,Low Risk,Win_Rate
CID00948,0.24132518,Low Risk,Win_Rate
CID01380,0.24126682,Low Risk,Avg_Trade_Return
CID00410,0.24087349,Low Risk,Win_Rate
CID00945,0.2406903,Low Risk,Email_Open_Rate
CID01683,0.24050458,Low Risk,Account_Age
CID01081,0.24048717,Low Risk,PnL_Percent
CID01789,0.2397446,Low Risk,Win_Rate
CID00825,0.23972508,Low Risk,Withdrawal_Ratio
CID01774,0.23970832,Low Risk,Avg_Trade_Return
CID01517,0.23966192,Low Risk,Trades_30D
CID00963,0.23958273,Low Risk,Win_Rate
CID01462,0.2395424,Low Risk,Win_Rate
CID01319,0.2394721,Low Risk,Account_Age
CID00010,0.23927207,Low Risk,Win_Rate
CID01573,0.239098,Low Risk,Avg_Trade_Return
CID01032,0.238902,Low Risk,Account_Age
CID01979,0.23878327,Low Risk,Win_Rate
CID01811,0.23837045,Low Risk,Email_Open_Rate
CID01161,0.23807898,Low Risk,Avg_Trade_Return
CID00154,0.23769446,Low Risk,Win_Rate
CID01817,0.2373008,Low Risk,Push_Click_Rate
CID01597,0.23726182,Low Risk,Win_Rate
CID01389,0.2371796,Low Risk,PnL_Percent
CID01067,0.23676178,Low Risk,Win_Rate
CID00515,0.23629728,Low Risk,Win_Rate
CID00763,0.23615274,Low Risk,Win_Rate
CID00144,0.23583794,Low Risk,Win_Rate
CID00159,0.23576486,Low Risk,Email_Open_Rate
CID00095,0.23571233,Low Risk,Trades_30D
CID00795,0.2356232,Low Risk,Avg_Trade_Return
CID01506,0.23495585,Low Risk,Win_Rate
CID01206,0.2348618,Low Risk,Win_Rate
CID00328,0.23452911,Low Risk,Push_Click_Rate
CID00745,0.23431478,Low Risk,Win_Rate
CID00367,0.23414285,Low Risk,Drawdown
CID01256,0.23334108,Low Risk,Win_Rate
CID01745,0.23112923,Low Risk,Win_Rate
CID01360,0.23106709,Low Risk,Win_Rate
CID01550,0.2308239,Low Risk,Drawdown
CID01669,0.23065412,Low Risk,Push_Click_Rate
CID01131,0.23030017,Low Risk,Push_Click_Rate
CID00864,0.23028196,Low Risk,Win_Rate
CID00260,0.23018838,Low Risk,Trades_30D
CID01376,0.2295235,Low Risk,Avg_Trade_Return
CID00492,0.22952053,Low Risk,Deposits
CID01548,0.2294803,Low Risk,Trades_30D
CID00626,0.22922951,Low Risk,Win_Rate
CID00483,0.22910738,Low Risk,Win_Rate
CID01324,0.22797306,Low Risk,Win_Rate
CID01602,0.22785789,Low Risk,Win_Rate
CID00203,0.2275204,Low Risk,Account_Age
CID00614,0.2274555,Low Risk,Push_Click_Rate
CID01413,0.22682622,Low Risk,Email_Open_Rate
CID01234,0.22649176,Low Risk,Win_Rate
CID01780,0.22624424,Low Risk,PnL_Percent
CID01058,0.2259805,Low Risk,Engagement_Score
CID01545,0.2259591,Low Risk,Win_Rate
CID01271,0.22554295,Low Risk,Avg_Trade_Return
CID01218,0.2252283,Low Risk,Engagement_Score
CID01153,0.22518723,Low Risk,PnL_Percent
CID01334,0.22501467,Low Risk,Account_Age
CID01270,0.22481988,Low Risk,Avg_Trade_Return
CID00060,0.22468661,Low Risk,Account_Age
CID01012,0.22464338,Low Risk,Win_Rate
CID00114,0.22462076,Low Risk,Login_Drop_Percent
CID01082,0.22454126,Low Risk,Win_Rate
CID00577,0.22446689,Low Risk,Account_Age
CID01138,0.22405165,Low Risk,Win_Rate
CID01792,0.22362666,Low Risk,Account_Age
CID01194,0.22357306,Low Risk,Avg_Trade_Return
CID00216,0.22355682,Low Risk,Win_Rate
CID00600,0.22328666,Low Risk,Push_Click_Rate
CID00295,0.22313698,Low Risk,Trades_30D
CID00903,0.223082,Low Risk,Win_Rate
CID01280,0.2230209,Low Risk,Avg_Trade_Return
CID01172,0.22292744,Low Risk,Deposits
CID01279,0.22234625,Low Risk,Win_Rate
CID00606,0.22197798,Low Risk,Win_Rate
CID00866,0.22192718,Low Risk,Win_Rate
CID00197,0.2218813,Low Risk,Trades_30D
CID01243,0.22186863,Low Risk,Avg_Trade_Return
CID01197,0.22138146,Low Risk,Account_Age
CID01326,0.22067243,Low Risk,Win_Rate
CID00108,0.22046301,Low Risk,Email_Open_Rate
CID00770,0.22043386,Low Risk,Engagement_Score
CID01800,0.22043015,Low Risk,Win_Rate
CID00234,0.22032243,Low Risk,Portfolio_Value
CID01805,0.220318,Low Risk,Win_Rate
CID01386,0.22012666,Low Risk,Win_Rate
CID00984,0.22011322,Low Risk,Win_Rate
CID00285,0.21995297,Low Risk,Win_Rate
CID01840,0.21978076,Low Risk,Win_Rate
CID01598,0.21970037,Low Risk,Avg_Trade_Return
CID00481,0.2195146,Low Risk,Win_Rate
CID00794,0.21950765,Low Risk,Avg_Trade_Return
CID00127,0.21949126,Low Risk,Win_Rate
CID01452,0.21880266,Low Risk,Avg_Trade_Return
CID00583,0.21781164,Low Risk,Win_Rate
CID00991,0.21755551,Low Risk,Push_Click_Rate
CID01720,0.21745387,Low Risk,Drawdown
CID00449,0.21745357,Low Risk,Email_Open_Rate
CID00525,0.2170979,Low Risk,Win_Rate
CID00384,0.21653247,Low Risk,Withdrawal_Ratio
CID00351,0.216229,Low Risk,Push_Click_Rate
CID01765,0.21565692,Low Risk,Win_Rate
CID01108,0.21504584,Low Risk,Avg_Trade_Return
CID00269,0.21501282,Low Risk,Account_Age
CID00246,0.21464302,Low Risk,Engagement_Score
CID01097,0.21462324,Low Risk,PnL
CID01451,0.2144514,Low Risk,Avg_Trade_Return
CID01939,0.21430711,Low Risk,Push_Click_Rate
CID01609,0.21423158,Low Risk,PnL_Percent
CID00541,0.2141653,Low Risk,Engagement_Score
CID00392,0.214113,Low Risk,Drawdown
CID01381,0.21410431,Low Risk,Win_Rate
CID00505,0.21342966,Low Risk,Win_Rate
CID01034,0.21324596,Low Risk,Account_Age
CID00817,0.21324001,Low Risk,PnL_Percent
CID01155,0.21285166,Low Risk,PnL_Percent
CID01192,0.21284507,Low Risk,Engagement_Score
CID00207,0.21282625,Low Risk,PnL_Percent
CID01209,0.2127468,Low Risk,Withdrawals
CID00463,0.21255511,Low Risk,Win_Rate
CID01818,0.2118029,Low Risk,Email_Open_Rate
CID00191,0.21160786,Low Risk,Push_Click_Rate
CID01457,0.21157286,Low Risk,PnL_Percent
CID01586,0.21123146,Low Risk,Win_Rate
CID01369,0.21076211,Low Risk,Win_Rate
CID01700,0.21064393,Low Risk,Engagement_Score
CID00015,0.21047388,Low Risk,Win_Rate
CID01844,0.2101931,Low Risk,Avg_Trade_Return
CID01886,0.20990634,Low Risk,Avg_Trade_Return
CID00404,0.20984763,Low Risk,Drawdown
CID01346,0.20976585,Low Risk,Drawdown
CID00967,0.20974356,Low Risk,Engagement_Score
CID01410,0.20915185,Low Risk,Avg_Trade_Return
CID01392,0.20906034,Low Risk,Win_Rate
CID00658,0.2090548,Low Risk,Win_Rate
CID01094,0.20867994,Low Risk,Engagement_Score
CID00016,0.2085169,Low Risk,Win_Rate
