Customer_ID,Account_Age,Segment,Trades_7D,Trades_30D,Login_7D,Login_30D,Deposits,Withdrawals,Portfolio_Value,Invested_Amount,Avg_Trade_Return,Win_Rate,Drawdown,Email_Open_Rate,Push_Click_Rate,Exit_Label
CID00021,62,Active Trader,21,62,11,39,117991.16,23294.82,112013.15,104877.89,0.00163,0.3789,0.0858,0.2585,0.0756,1
CID00022,20,Retail,1,5,4,10,1340.5,93.53,6617.58,4483.22,-0.01261,0.3173,0.0996,0.753,0.0412,1
CID00023,20,Retail,1,3,2,16,1386.07,260.41,7143.73,6816.55,-0.00141,0.5185,0.2127,0.0925,0.3285,0
CID00024,16,Retail,1,8,4,14,21930.46,1349.23,50980.95,37862.68,-0.01068,0.668,0.2804,0.3462,0.5271,0
CID00025,12,Active Trader,21,61,15,42,23884.59,6757.72,77372.82,72090.86,0.00348,0.7607,0.2617,0.0912,0.1933,0
CID00026,13,Retail,3,7,2,16,3095.65,539.99,18069.58,19958.26,0.00279,0.4414,0.1951,0.3262,0.3372,0
CID00027,43,Retail,2,9,8,8,4095.54,367.06,18967.89,17008.89,-0.02501,0.5071,0.0234,0.0911,0.2027,0
CID00028,77,Active Trader,14,67,11,44,13990.96,7820.59,62023.72,42912.27,-0.00655,0.6062,0.2438,0.571,0.2136,0
CID00029,40,Retail,2,14,8,18,3097.59,1642.66,19119.08,15390.45,0.00443,0.7373,0.2223,0.2877,0.1383,0
CID00030,27,Retail,1,8,2,12,48261.27,3131.56,77805.13,87892.22,0.03222,0.5998,0.0216,0.3416,0.4026,0
CID00031,80,HNI,5,20,9,9,120755.8,83993.92,638292.76,714242.42,-0.00615,0.4383,0.2641,0.4225,0.3541,0
CID00032,27,Active Trader,18,65,12,37,8421.25,1166.76,18093.07,16826.76,-0.00022,0.6341,0.1991,0.2371,0.2989,0
CID00033,24,Active Trader,19,59,12,29,57077.66,28396.43,129999.28,135322.81,0.01184,0.4757,0.0741,0.1295,0.1686,0
CID00034,20,Retail,0,11,6,14,2987.79,1709.5,5797.21,6246.78,-0.03873,0.2208,0.0276,0.4692,0.3448,1
CID00035,31,Retail,1,8,2,4,1482.32,79.03,4121.09,4351.4,0.01774,0.5993,0.1477,0.8077,0.4438,0
CID00036,14,Retail,3,10,8,16,43281.63,4236.86,101846.81,109737.72,0.02464,0.5852,0.1296,0.1979,0.0524,0
CID00037,8,HNI,4,16,8,10,47751.63,19150.64,335746.87,214964.54,-0.00731,0.557,0.0975,0.0625,0.1243,0
CID00038,18,Active Trader,12,60,12,42,44268.51,9107.63,190715.84,157808.2,-0.00594,0.4009,0.212,0.3468,0.102,0
CID00039,89,HNI,2,20,4,16,144985.2,9370.88,842127.31,714521.63,0.01253,0.7451,0.2503,0.2239,0.1526,0
CID00040,24,Retail,1,9,3,13,1666.44,543.63,11896.76,7580.46,0.01314,0.4712,0.0773,0.0522,0.1778,0
CID00041,30,Active Trader,19,58,13,51,55803.82,13039.72,140451.18,139019.92,0.00801,0.5236,0.1457,0.1166,0.328,0
CID00042,55,Active Trader,13,45,11,40,95280.38,18219.06,137625.12,92606.37,0.013,0.4829,0.0427,0.3493,0.214,0
CID00043,14,Retail,3,8,2,11,5127.61,544.96,17292.43,16958.49,0.00675,0.8112,0.0405,0.1734,0.1767,0
CID00044,38,HNI,6,25,5,14,35946.01,18774.13,183208.81,149674.63,0.00755,0.3229,0.0836,0.0933,0.1885,0
CID00045,28,Retail,4,12,5,9,6297.88,1451.97,12502.92,12758.04,0.0177,0.6278,0.1066,0.2086,0.2242,1
CID00046,31,Retail,3,7,3,13,6895.9,3078.9,30325.69,31835.36,-0.00372,0.7254,0.0312,0.1932,0.0544,0
CID00047,21,Active Trader,19,67,13,43,7628.3,1825.65,22790.88,22725.68,0.0323,0.2206,0.2019,0.3545,0.2698,0
CID00048,14,Retail,1,11,3,18,12502.36,3189.33,23640.71,19908.07,0.01949,0.216,0.1044,0.1809,0.0563,0
CID00049,1,HNI,2,15,3,17,147208.76,41367.59,662288.84,663103.14,-0.00721,0.4245,0.1281,0.084,0.1323,0
CID00050,72,HNI,5,14,5,7,112572.08,63328.96,683013.86,507538.57,0.01055,0.3749,0.1923,0.034,0.2247,0
CID00051,14,Retail,2,4,4,18,4304.56,460.79,11621.9,8025.95,0.00701,0.7343,0.2699,0.3483,0.1043,0
CID00052,47,Active Trader,19,71,14,33,13427.69,2980.18,78093.12,54768.55,0.03089,0.3637,0.1379,0.1199,0.4027,0
CID00053,21,Retail,0,7,6,16,28627.84,5489.37,62615.99,49891.73,0.01186,0.4362,0.1897,0.2234,0.1336,0
CID00054,4,Retail,1,8,8,12,11547.42,570.29,29158.57,30139.64,-0.00966,0.6306,0.1273,0.0526,0.413,0
CID00055,30,Retail,2,9,6,15,11926.57,2457.77,45220.63,41886.6,0.01574,0.5814,0.1003,0.1238,0.0923,0
CID00056,62,HNI,3,7,6,8,62290.31,30871.99,467202.31,401733.88,0.03252,0.5686,0.1151,0.302,0.1752,0
CID00057,16,Retail,1,4,5,15,5925.76,968.67,24771.14,18372.36,0.01355,0.3321,0.0285,0.4911,0.2167,1
CID00058,77,HNI,9,19,4,19,475434.51,309253.06,1304948.74,1279986.45,-0.02125,0.491,0.0555,0.2631,0.1518,0
CID00059,16,Retail,0,11,5,15,5449.58,1758.08,21773.27,19116.94,0.02242,0.4793,0.057,0.2882,0.0526,0
CID00060,3,Active Trader,14,61,14,48,69401.13,14598.74,421619.22,366342.33,0.00213,0.4163,0.0262,0.2287,0.0483,1
CID00061,40,Active Trader,14,69,11,42,8037.45,1452.18,18145.51,15800.73,0.00038,0.2571,0.0582,0.2283,0.1319,0
CID00062,51,Active Trader,19,60,11,28,64146.13,24960.41,163991.04,165181.92,0.00445,0.5316,0.1687,0.2127,0.1436,0
CID00063,9,Retail,4,7,6,11,4098.56,1651.35,11959.19,9023.84,-0.01021,0.4402,0.0542,0.5095,0.2347,0
CID00064,40,Retail,3,5,7,16,1589.63,814.45,7504.84,7981.33,-0.01762,0.5675,0.1032,0.1623,0.3836,0
CID00065,51,HNI,7,16,2,18,1172077.75,147893.94,2577379.27,2794101.31,-0.01092,0.4738,0.1823,0.0191,0.2155,0
CID00066,40,Retail,0,5,4,17,17937.37,5283.91,24260.52,27579.54,0.00245,0.3745,0.0115,0.1354,0.1602,1
CID00067,29,HNI,6,18,2,13,126740.15,21300.49,503925.22,356632.01,0.00677,0.7523,0.0776,0.3152,0.5365,0
CID00068,20,Retail,0,13,5,11,8344.63,265.32,31517.22,23104.88,0.00169,0.5598,0.0502,0.3077,0.1475,0
CID00069,1,Retail,1,4,1,19,2538.09,1379.2,4948.15,5112.19,0.02826,0.4413,0.1283,0.2437,0.1067,0
CID00070,9,Active Trader,23,64,14,48,20627.37,7905.18,97883.94,90554.55,0.00278,0.5933,0.1752,0.0237,0.044,1
CID00071,6,Retail,5,7,2,15,7300.36,4296.52,18008.79,13805.75,-0.03064,0.5189,0.1326,0.3276,0.254,0
CID00072,15,Retail,1,5,8,14,10016.58,3078.14,33928.8,26801.65,-0.00389,0.4499,0.0403,0.2642,0.051,0
CID00073,33,Retail,1,7,2,16,44760.31,7631.69,53597.78,56709.49,-0.00041,0.2781,0.0778,0.3641,0.1104,1
CID00074,14,Retail,3,4,4,24,776.09,123.65,5029.37,4117.48,0.01383,0.5193,0.0029,0.2098,0.0411,0
CID00075,19,Retail,2,5,2,17,3563.95,970.92,6009.85,6771.12,-0.00906,0.578,0.1146,0.0903,0.2804,0
CID00076,70,HNI,5,16,6,13,235783.6,95015.22,763427.29,542151.79,0.00438,0.3274,0.0336,0.3312,0.0674,0
CID00077,19,Retail,1,10,4,13,4426.49,309.23,17609.47,11248.41,-0.0007,0.5699,0.134,0.1504,0.0434,0
CID00078,10,Retail,2,5,6,14,11910.24,2875.69,24093.18,16594.17,-0.00988,0.4302,0.1404,0.1648,0.3154,0
CID00079,19,Retail,0,12,4,13,6427.86,430.5,21159.33,21921.42,-0.0044,0.5943,0.216,0.2908,0.0982,0
CID00080,14,Retail,2,10,8,15,25358.94,2345.29,45145.82,44686.29,-0.01234,0.7186,0.0572,0.3548,0.0413,1
CID00081,14,Retail,2,8,1,11,13486.08,5067.65,43635.23,42797.32,-0.01947,0.3351,0.0212,0.4789,0.2484,0
CID00082,28,Retail,1,3,5,17,2605.76,797.1,12508.52,8158.12,0.00774,0.4192,0.2036,0.2828,0.0458,0
CID00083,68,HNI,7,20,3,16,77786.5,32177.08,206898.6,148222.1,0.00914,0.5607,0.1618,0.4183,0.533,1
CID00084,19,Retail,0,9,4,20,2547.95,918.97,5861.83,6487.4,-0.00375,0.4388,0.1043,0.3044,0.2659,0
CID00085,20,Retail,0,4,4,8,2639.97,761.78,18156.83,20611.49,0.00823,0.2254,0.1347,0.7858,0.4969,1
CID00086,50,HNI,8,21,5,13,126523.22,24330.05,680062.82,579506.88,0.03256,0.5077,0.2501,0.5996,0.5205,0
CID00087,15,Retail,2,8,1,15,3038.47,858.52,11273.27,8120.03,-0.00477,0.8127,0.1863,0.3583,0.2415,0
CID00088,1,Active Trader,16,63,12,26,13084.68,1164.24,95671.89,80028.76,0.00332,0.1053,0.0861,0.1603,0.186,1
CID00089,15,Retail,0,5,7,17,13154.88,1175.1,29341.64,30075.89,0.01958,0.4633,0.0717,0.3085,0.0551,0
CID00090,6,Retail,4,4,6,12,3293.86,631.04,28545.24,19489.54,0.02235,0.4678,0.0993,0.3794,0.0144,0
CID00091,52,Active Trader,24,56,7,39,38537.2,16397.7,106300.75,83890.08,0.01303,0.4744,0.1539,0.5358,0.1093,0
CID00092,39,HNI,7,14,4,13,173265.18,92003.01,788352.24,671566.49,0.00904,0.576,0.2766,0.3095,0.1888,0
CID00093,21,Retail,4,6,2,18,3382.64,986.12,12515.86,8310.5,0.00882,0.6386,0.1483,0.208,0.2529,0
CID00094,99,HNI,7,19,1,24,475739.15,147160.42,1935407.09,2038872.67,0.00206,0.2512,0.1664,0.1186,0.3175,0
CID00095,4,Retail,1,2,3,26,2610.15,1306.74,34818.78,26774.56,0.00241,0.4057,0.0327,0.4837,0.1691,0
CID00096,16,Retail,1,8,3,17,6404.44,391.88,22766.84,17106.58,-0.01456,0.1286,0.1288,0.4289,0.1504,1
CID00097,18,Retail,2,9,2,15,10166.27,2197.01,24995.29,15473.83,-0.00526,0.349,0.0269,0.1778,0.2154,0
CID00098,43,Retail,4,7,1,15,5781.55,2000.77,37449.86,27681.61,-0.00075,0.7728,0.1182,0.2642,0.6533,0
CID00099,39,Active Trader,19,73,8,36,21519.99,11034.95,104193.12,65405.07,0.00629,0.4857,0.1494,0.2306,0.0345,1
CID00100,30,HNI,2,21,1,14,69717.87,7649.99,430630.7,280741.24,-0.02829,0.4415,0.1901,0.039,0.1088,0
CID00101,94,HNI,3,19,7,11,40126.16,10050.74,163949.68,177146.02,0.01025,0.4147,0.3244,0.1594,0.0477,0
CID00102,44,Active Trader,19,57,12,44,86088.52,54401.09,392230.51,289768.75,-0.0114,0.6171,0.2184,0.0717,0.2786,1
CID00103,30,Retail,2,7,7,13,5185.56,691.32,23428.89,18926.13,-0.00138,0.522,0.2932,0.6857,0.2927,0
CID00104,12,Retail,4,10,1,14,850.44,284.45,6237.92,4234.98,-0.00485,0.4648,0.1875,0.3482,0.231,1
CID00105,19,Retail,4,7,5,13,1606.74,337.48,6908.2,4328.67,-0.01483,0.4883,0.1429,0.0099,0.0698,0
CID00106,52,Retail,3,4,5,15,6639.97,3001.46,34117.61,21384.31,0.00566,0.1897,0.1606,0.0892,0.1881,0
CID00107,10,Retail,2,8,5,16,2437.62,1114.91,7709.85,7943.72,-0.01353,0.1551,0.0265,0.2016,0.3334,0
CID00108,68,HNI,5,17,2,14,201819.83,6238.8,708271.23,728893.93,0.00749,0.563,0.0595,0.0173,0.1423,0
CID00109,30,Active Trader,15,62,13,30,80735.53,40486.39,247307.71,250380.0,-0.00977,0.5085,0.227,0.2418,0.0488,0
CID00110,39,Retail,2,10,5,13,4786.45,2778.74,17653.53,12734.52,0.01295,0.3004,0.0693,0.1759,0.1127,0
CID00111,48,HNI,8,20,4,22,147004.92,22134.47,653735.83,567047.52,0.01286,0.4377,0.1853,0.1392,0.302,0
CID00112,25,Retail,2,12,2,23,14781.89,1469.35,18713.83,19967.73,0.01895,0.2286,0.0616,0.1412,0.1507,0
CID00113,1,Retail,3,10,2,10,77051.14,45351.35,46818.62,50749.19,0.01419,0.3661,0.1457,0.2854,0.0355,0
CID00114,36,Retail,1,12,0,13,11333.65,7254.81,60010.46,47269.31,-0.01196,0.3138,0.0568,0.4586,0.3315,0
CID00115,13,Retail,0,5,3,19,5369.56,1508.33,17161.27,19295.64,-0.00088,0.4322,0.0689,0.2515,0.0383,0
CID00116,31,Retail,2,5,4,17,21323.44,1684.81,70030.89,70500.66,0.02173,0.2826,0.1585,0.2818,0.0776,1
CID00117,18,Active Trader,23,59,8,49,11419.81,528.02,79442.17,56259.24,0.00173,0.6459,0.0717,0.1054,0.082,0
CID00118,20,Retail,1,10,5,13,5973.04,985.18,32155.34,22152.84,-0.00412,0.6176,0.2053,0.4636,0.1588,1
CID00119,52,HNI,4,21,7,16,610403.64,89492.69,1405942.68,883206.02,-0.00105,0.6789,0.1802,0.1787,0.1447,0
CID00120,49,Active Trader,17,69,17,33,11867.08,3066.77,26841.01,25677.6,-0.00471,0.6745,0.0711,0.271,0.0451,0
CID00121,24,Retail,5,9,2,13,7552.95,439.92,40744.32,30248.48,-0.02153,0.5951,0.0452,0.2702,0.1047,0
CID00122,19,Retail,1,6,2,9,3700.17,2145.4,11039.17,12527.84,0.00308,0.6621,0.0758,0.3324,0.1849,0
CID00123,28,Retail,2,9,0,24,22592.73,592.45,49656.02,48934.82,-0.0041,0.4551,0.0384,0.347,0.3568,0
CID00124,36,Retail,2,4,3,17,2395.64,622.0,9963.09,10957.95,0.00519,0.4447,0.1252,0.3678,0.1396,0
CID00125,39,Active Trader,14,66,11,43,29976.23,5760.29,132213.93,105754.24,-0.0034,0.4509,0.104,0.3718,0.0893,0
CID00126,55,Retail,1,6,2,13,1464.53,282.1,18139.39,12559.91,0.00204,0.4722,0.2084,0.2534,0.1816,0
CID00127,28,Retail,1,5,5,19,4649.22,105.02,13097.0,14858.74,0.00253,0.2631,0.0314,0.0452,0.1089,0
CID00128,81,HNI,4,9,1,13,354731.26,69350.85,625768.56,683128.65,0.01597,0.5424,0.0287,0.224,0.497,0
CID00129,28,Retail,1,9,6,11,774.43,144.77,5202.58,4647.61,0.01986,0.5661,0.1359,0.4379,0.0974,0
CID00130,5,Retail,0,5,4,11,6260.72,3334.12,20997.09,16305.26,0.00618,0.4169,0.0674,0.1142,0.1016,0
CID00131,46,HNI,7,10,7,12,62050.11,21795.13,372461.87,350534.73,-0.00484,0.3034,0.256,0.1392,0.3667,0
CID00132,47,Retail,0,6,5,17,994.01,188.39,4227.13,3883.14,0.02978,0.5678,0.0794,0.3096,0.4113,0
CID00133,26,Active Trader,20,49,9,35,8084.01,3818.72,134181.85,88207.42,0.00955,0.4128,0.1459,0.1201,0.2267,0
CID00134,49,Active Trader,25,40,12,39,61394.18,23666.44,141199.44,160394.32,0.01961,0.5835,0.0919,0.0169,0.437,0
CID00135,29,Active Trader,20,54,9,34,26950.81,4054.62,106057.77,114365.57,0.00701,0.3378,0.0945,0.0849,0.2328,1
CID00136,37,Active Trader,21,53,7,43,11517.46,495.54,65164.66,68469.98,0.01099,0.7894,0.1459,0.3819,0.2602,0
CID00137,44,Active Trader,13,60,9,45,21296.18,6503.52,37192.17,41911.26,0.026,0.2572,0.1631,0.2826,0.0534,0
CID00138,21,Retail,1,3,3,16,9083.52,1745.31,38268.34,26512.77,0.01951,0.7983,0.2374,0.4241,0.2357,1
CID00139,7,Retail,2,7,5,13,14447.35,1513.09,41582.76,43213.04,0.01383,0.3728,0.2503,0.0861,0.4223,0
CID00140,45,Retail,0,8,1,14,3499.93,277.46,22277.21,15029.55,0.01778,0.3073,0.2291,0.0696,0.0083,0
CID00141,59,Active Trader,11,70,9,36,52457.46,19356.32,188817.71,155966.9,0.00484,0.7215,0.0952,0.814,0.064,0
CID00142,42,Active Trader,20,60,13,40,70604.92,10289.66,238724.03,170907.24,0.02484,0.4562,0.1013,0.8006,0.1395,0
CID00143,33,Retail,1,9,3,11,2400.73,920.94,9321.03,7519.29,0.00053,0.4535,0.0739,0.5693,0.1194,0
CID00144,34,Active Trader,20,57,16,54,23826.92,5688.6,117027.5,92004.54,0.00342,0.5346,0.1592,0.3065,0.106,1
CID00145,41,Retail,2,9,4,13,6609.14,2353.73,22699.57,25258.87,0.02056,0.6682,0.0995,0.2643,0.096,0
CID00146,14,Retail,1,11,6,11,16555.69,2695.7,39242.78,37341.9,-0.00064,0.6312,0.1108,0.5508,0.0601,0
CID00147,69,Active Trader,14,67,13,45,33139.56,5500.12,140774.44,113681.23,-0.0101,0.4012,0.2126,0.41,0.2841,0
CID00148,54,Active Trader,13,57,12,38,128342.26,9390.19,242194.17,277074.71,0.02505,0.6845,0.0751,0.1675,0.1784,0
CID00149,24,Retail,1,5,3,14,14382.07,2519.4,44205.18,29831.02,-0.00073,0.5057,0.1009,0.2932,0.3019,1
CID00150,26,Retail,2,5,2,9,8499.13,1287.53,30114.21,20649.87,-0.00267,0.3961,0.0803,0.1619,0.1388,0
CID00151,15,HNI,7,22,2,12,91650.32,20238.19,340050.22,274858.12,-0.0029,0.8771,0.1635,0.1753,0.4673,0
CID00152,37,Active Trader,19,65,11,38,8767.32,3764.58,59294.96,54846.44,0.00046,0.6416,0.2027,0.0951,0.2761,0
CID00153,3,Retail,3,7,2,16,6901.54,339.81,14638.95,13004.37,0.00142,0.263,0.0112,0.1832,0.0863,1
CID00154,24,Retail,4,6,6,19,8255.11,1212.81,27663.25,27396.45,-0.0063,0.289,0.0501,0.4295,0.1951,0
CID00155,35,Active Trader,16,60,4,48,65786.27,21839.47,133308.96,144685.9,0.00447,0.6496,0.2486,0.2357,0.055,0
CID00156,74,HNI,2,21,4,15,185617.56,70192.13,286867.51,285948.68,-0.00659,0.771,0.1562,0.1092,0.171,0
CID00157,25,Retail,1,5,4,16,22205.21,6129.78,38750.65,40809.98,-0.00088,0.648,0.045,0.1357,0.2063,1
CID00158,29,Active Trader,14,67,10,41,40904.47,10666.94,108721.14,112044.39,-0.01365,0.3463,0.3021,0.1472,0.0328,0
CID00159,24,Retail,2,6,2,20,2686.58,160.88,27403.02,25268.6,-0.00153,0.8516,0.1371,0.0723,0.3003,0
CID00160,39,Retail,3,7,1,17,3810.2,659.55,16822.69,17023.71,0.0042,0.3932,0.0875,0.0173,0.1307,0
CID00161,72,HNI,6,17,5,10,159900.52,5119.53,926471.39,823234.47,0.01318,0.3426,0.0181,0.0573,0.055,0
CID00162,29,Active Trader,23,64,11,41,8632.06,1600.28,53736.97,56114.09,-0.01219,0.4639,0.2495,0.2311,0.1411,0
CID00163,44,Retail,3,5,3,8,19444.77,9842.37,63461.94,70535.22,-0.01077,0.3235,0.0839,0.3534,0.2715,0
CID00164,1,Retail,2,8,3,13,2620.19,320.38,12608.83,11434.11,0.00363,0.4426,0.098,0.0174,0.0607,0
CID00165,42,Active Trader,9,53,11,45,26011.57,6306.95,67662.42,55426.57,-0.00677,0.3385,0.0323,0.2672,0.0888,0
CID00166,48,Active Trader,25,49,18,38,26343.53,7575.58,88804.57,57630.2,-0.01815,0.2469,0.1392,0.3686,0.071,1
CID00167,13,Active Trader,14,54,9,39,15402.33,7000.53,54389.26,51180.33,0.00144,0.4142,0.0725,0.0959,0.0306,1
CID00168,70,HNI,5,14,2,16,278849.88,85687.37,905028.37,783470.78,-0.00016,0.4509,0.0383,0.46,0.1885,0
CID00169,25,Retail,3,10,3,13,3799.03,429.94,14389.61,10443.53,0.01503,0.7211,0.125,0.2809,0.0496,0
CID00170,12,Retail,0,6,2,18,2438.25,977.26,11759.34,7594.87,0.0042,0.4497,0.1024,0.1062,0.2102,0
CID00171,81,Active Trader,17,54,12,46,21061.07,960.46,96762.38,66158.91,0.00305,0.3183,0.0039,0.1944,0.0608,0
CID00172,24,Retail,1,6,6,15,8925.13,2678.94,38256.12,37200.31,0.00974,0.5324,0.2128,0.2738,0.1306,0
CID00173,30,Retail,3,8,4,16,6866.97,1994.0,32498.03,26932.82,-0.00816,0.6975,0.1493,0.1149,0.0634,0
CID00174,51,HNI,6,23,4,17,242036.89,192535.23,838160.16,946535.04,-0.01818,0.6532,0.2308,0.3855,0.4344,1
CID00175,86,Active Trader,16,60,19,35,28876.85,10518.84,135369.28,121557.31,0.00503,0.7036,0.0197,0.4367,0.1618,0
CID00176,57,HNI,7,23,7,13,142338.06,37431.58,1053548.39,637523.9,-0.01422,0.2479,0.0106,0.1223,0.2159,0
CID00177,53,HNI,6,18,4,9,793423.76,341902.12,1584817.31,997590.37,-0.00378,0.6136,0.1883,0.225,0.2066,0
CID00178,64,HNI,6,9,7,13,58805.8,12360.66,275397.42,238300.26,0.01065,0.4059,0.3679,0.1967,0.2752,0
CID00179,88,HNI,2,18,3,16,694901.66,158607.58,3692508.29,2599498.92,0.00641,0.6692,0.229,0.2382,0.0409,0
CID00180,1,Retail,1,6,4,12,23376.77,1648.59,69949.56,55958.69,0.02242,0.2161,0.01,0.2993,0.1163,0
CID00181,39,Active Trader,18,54,13,34,20894.96,666.57,38101.98,37697.01,-0.0188,0.6566,0.2152,0.4938,0.3442,0
CID00182,55,Active Trader,19,49,10,48,13128.94,8520.9,86802.15,75776.33,0.01366,0.7225,0.1266,0.0825,0.3073,0
CID00183,25,Retail,1,7,2,10,619.4,204.58,3459.1,3141.53,-0.00392,0.6543,0.1101,0.1861,0.0352,0
CID00184,37,Retail,0,5,0,10,15945.2,1961.57,43516.67,28823.83,0.00541,0.5271,0.0371,0.0776,0.1897,0
CID00185,38,Retail,1,6,6,14,2666.61,1069.75,8279.1,5771.98,0.00198,0.46,0.3194,0.2317,0.1365,0
CID00186,17,Retail,1,8,3,12,998.52,131.03,5960.21,4116.09,0.00912,0.5385,0.24,0.1957,0.1389,0
CID00187,39,Active Trader,20,64,15,37,14090.49,915.09,81547.97,82442.84,0.0088,0.1638,0.0163,0.1535,0.1752,0
CID00188,10,Retail,1,7,4,13,59561.36,21982.55,82215.14,55710.57,0.01093,0.2876,0.0214,0.3078,0.0247,1
CID00189,36,Active Trader,17,71,19,37,70004.92,5454.9,352083.74,348499.91,0.03714,0.3515,0.2714,0.172,0.1307,0
CID00190,18,Retail,4,8,3,13,10944.86,641.33,39327.27,29154.24,-0.00691,0.2248,0.1119,0.4789,0.061,0
CID00191,53,Active Trader,9,56,8,37,9296.33,2486.25,157722.33,120289.15,0.01861,0.438,0.027,0.2963,0.0194,0
CID00192,32,Retail,3,7,6,16,971.52,470.54,10776.51,7357.9,-0.00507,0.6036,0.1598,0.2843,0.1185,0
CID00193,18,Retail,4,7,3,15,1323.5,552.93,3773.52,3018.56,-0.00284,0.4657,0.0233,0.2076,0.2475,0
CID00194,8,Retail,1,5,3,20,18550.28,9616.7,70196.67,72384.97,0.03511,0.7305,0.0571,0.5034,0.037,0
CID00195,69,HNI,3,22,6,16,185914.2,9381.63,959554.16,792378.38,0.00152,0.2962,0.1979,0.5039,0.1538,0
CID00196,77,HNI,7,15,2,17,143272.18,113046.25,723604.53,566837.28,-0.01606,0.3338,0.0788,0.383,0.2317,0
CID00197,47,Retail,1,2,5,25,1331.01,232.92,6172.67,6185.67,-0.02306,0.4179,0.1465,0.3948,0.2575,0
CID00198,43,Retail,0,6,5,11,6450.21,404.08,24590.85,16149.57,-0.00292,0.5437,0.1227,0.4064,0.479,0
CID00199,8,Retail,2,3,1,15,2970.72,939.55,36085.65,22959.16,0.0132,0.7428,0.1508,0.1696,0.2855,0
CID00200,61,Active Trader,21,56,9,50,24639.85,2051.16,84148.19,77814.72,0.0308,0.7904,0.2215,0.2843,0.0568,0
CID00201,1,Retail,2,7,4,10,1968.08,293.39,11976.84,7644.88,0.01126,0.4187,0.1641,0.5236,0.13,1
CID00202,1,Retail,2,5,10,14,13418.93,1789.82,57317.55,42923.45,0.00731,0.6333,0.2914,0.3322,0.2506,0
CID00203,36,Active Trader,22,49,11,45,19931.63,16992.09,80697.73,58777.64,0.01183,0.3882,0.0941,0.4575,0.2334,1
CID00204,27,Retail,4,4,5,13,3206.38,925.48,11706.08,7600.73,0.02583,0.4323,0.1386,0.1321,0.1143,0
CID00205,28,Active Trader,15,63,8,41,21275.94,3831.99,61702.09,66288.95,-0.00418,0.5786,0.2653,0.0542,0.3505,0
CID00206,51,Active Trader,20,79,18,45,2712.45,70.18,14834.63,11307.13,-0.00425,0.67,0.1124,0.1139,0.3534,0
CID00207,23,Active Trader,16,59,11,33,42243.19,20344.52,169771.1,128748.25,0.02009,0.4401,0.2343,0.4468,0.3306,0
